Technique,pH,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,Ag,As,B,Be,Bi,Cd,Co,Cr,Cu,Ga,Hg,La,Li,Mo,Ni,Pb,S,Sb,Sc,Th,Ti,Tl,U,V,W,Zn,Albite,Aluminium oxide hydroxide,Aragonite,Calcite,Clinochlore,Diaspore,Gehlenite,Illite,Kaolinite,Melilite,Microcline,Mullite,Muscovite,Periclase,Phengite,Quartz
Uncapped,9.921,30.7,8.99,1.2,35.7,3.07,0.58,0.43,0.003,0.49,0.58,0.06,0.08,0.34,0.00002,0.0005,0.003,0.00103,0.0002,0.00005,0.0002,0.0013,0.0028,0.001,0.0001,0.004,0.007,0.0001,0.0006,0.0011,7.00E-01,0.0002,0.0015,0.002,0.000019,0.001,0.001,0.0018,0.001,0.0024,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Capped,8.85,47.3,10.05,3.99,13.3,1.36,0.73,1.9,0.014,0.59,0.16,0.14,0.02,0.07,0.00002,0.0015,0.002,0.00021,0.0002,0.00005,0.0011,0.0026,0.0044,0.001,0.0001,0.002,0.003,0.0001,0.0029,0.0061,1.60E-01,0.0003,0.0005,0.002,0.000002,0.001,0.001,0.0025,0.001,0.0088,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,1
Capped,7.701,46.2,16.75,7.65,4.88,1.32,1.12,2.79,0.028,1.34,0.35,0.37,0.01,0.05,0.00002,0.006,0.001,0.00011,0.0002,0.00005,0.0031,0.0047,0.0097,0.001,0.0001,0.002,0.004,0.0001,0.006,0.0014,5.00E-02,0.0005,0.0015,0.002,0.000001,0.001,0.001,0.0039,0.001,0.0057,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
Capped,8.295,55.8,8.18,3.2,11.15,1.1,0.8,1.74,0.011,0.51,0.08,0.14,0.01,0.05,0.00002,0.0011,0.001,0.00007,0.0002,0.00005,0.0009,0.0023,0.0037,0.001,0.0001,0.001,0.002,0.0001,0.0023,0.0043,6.00E-02,0.0002,0.0003,0.002,0.000001,0.001,0.001,0.0021,0.001,0.0068,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1
Uncapped,8.363,40.3,12.05,3.63,20.6,1.18,0.39,0.99,0.011,0.48,0.38,0.15,0.03,0.36,0.00005,0.0008,0.002,0.00058,0.0002,0.0001,0.0004,0.0015,0.0032,0.001,0.0001,0.002,0.004,0.0001,0.001,0.0158,2.40E-01,0.0005,0.0005,0.002,0.000005,0.001,0.001,0.0011,0.001,0.021,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1
Capped,8.047,60.8,9.78,4.5,4.32,1.5,0.89,2,0.015,0.51,0.16,0.16,0.01,0.09,0.00007,0.0012,0.001,0.00015,0.0002,0.00018,0.0009,0.0022,0.0041,0.001,0.0001,0.001,0.002,0.0001,0.0024,0.024,9.00E-02,0.0005,0.0003,0.002,0.000002,0.001,0.001,0.0023,0.001,0.0544,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Capped,9.841,56.9,9.89,4.22,8.03,1.62,0.88,1.97,0.015,0.51,0.16,0.13,0.01,0.15,0.00004,0.001,0.002,0.00025,0.0002,0.00009,0.0007,0.0038,0.0039,0.001,0.0001,0.002,0.003,0.0001,0.0024,0.0124,2.30E-01,0.0003,0.0004,0.002,0.000003,0.001,0.001,0.0026,0.001,0.0215,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Capped,10.294,52.8,10.2,3.62,12,1.44,0.72,1.74,0.012,0.49,0.18,0.11,0.01,0.11,0.00004,0.0015,0.002,0.00031,0.0002,0.00008,0.0007,0.0021,0.0032,0.001,0.0001,0.002,0.003,0.0001,0.002,0.0118,2.40E-01,0.0005,0.0005,0.002,0.000004,0.001,0.001,0.002,0.001,0.0202,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Uncapped,10.797,19.8,4.87,0.63,44.3,1.09,0.19,0.33,0.003,0.12,0.21,0.02,0.03,0.33,0.00003,0.0005,0.005,0.00063,0.0002,0.00005,0.0001,0.0014,0.0019,0.001,0.0001,0.003,0.004,0.0001,0.0004,0.0027,5.80E-01,0.0002,0.0007,0.002,0.000005,0.001,0.001,0.0007,0.001,0.0046,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Capped,9.019,53.9,8.39,3.87,12.25,1.8,0.77,1.48,0.012,0.49,0.34,0.11,0.03,0.23,0.00008,0.0012,0.002,0.00045,0.0002,0.00015,0.0006,0.0019,0.0042,0.001,0.0002,0.002,0.004,0.0001,0.0018,0.0211,3.30E-01,0.0006,0.0005,0.002,0.000007,0.001,0.001,0.0023,0.001,0.0399,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Uncapped,10.774,27.7,7.13,1.04,39,1.86,0.23,0.37,0.002,0.16,0.25,0.01,0.03,0.58,0.00003,0.0004,0.006,0.00091,0.0002,0.00005,0.0002,0.0013,0.0023,0.001,0.0001,0.003,0.006,0.0001,0.0004,0.0028,1.18,0.0002,0.001,0.002,0.000007,0.001,0.001,0.0005,0.001,0.0051,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
